"","time","oid","x","y"
"1",2002-09-10 09:16:00,862,486253.8,4207588.1
"2",2002-09-10 09:16:30,862,486261.6,4207543.6
"3",2002-09-10 09:17:00,862,486292.4,4207562.6
"4",2002-09-10 09:17:30,862,486289.6,4207473.8
"5",2002-09-10 09:18:00,862,486226.1,4207270.7
"6",2002-09-10 09:18:30,862,486225.8,4207094.2
"7",2002-09-10 09:19:00,862,486233.4,4206933.4
"8",2002-09-10 09:19:30,862,486276.3,4206825.8
"9",2002-09-10 09:20:00,862,486292.8,4206720.4
"10",2002-09-10 09:20:30,862,486253.3,4206701.4
"11",2002-09-10 09:21:00,862,486253.3,4206701.4
"12",2002-09-10 09:21:30,862,NA,NA
"13",2002-09-10 09:22:00,862,486212.9,4206704.8
"14",2002-09-10 09:22:30,862,486203.2,4206706.1
"15",2002-09-10 09:23:00,862,486203.2,4206706.1
"16",2002-09-10 09:23:30,862,NA,NA
"17",2002-09-10 09:24:00,862,486165.6,4206710.4
"18",2002-09-10 09:24:30,862,486155,4206712.5
"19",2002-09-10 09:25:00,862,486151.5,4206715.9
"20",2002-09-10 09:25:30,862,NA,NA
"21",2002-09-10 09:26:00,862,486141.8,4206703.7
"22",2002-09-10 09:26:30,862,486186.3,4206573.7
"23",2002-09-10 09:27:00,862,486210,4206519.5
"24",2002-09-10 09:27:30,862,486219.6,4206492.8
"25",2002-09-10 09:28:00,862,486221.3,4206521.5
"26",2002-09-10 09:28:30,862,486217.9,4206575.7
"27",2002-09-10 09:29:00,862,486210.1,4206582.5
"28",2002-09-10 09:29:30,862,NA,NA
"29",2002-09-10 09:30:00,862,NA,NA
"30",2002-09-10 09:30:30,862,NA,NA
"31",2002-09-10 09:31:00,862,NA,NA
"32",2002-09-10 09:31:30,862,NA,NA
"33",2002-09-10 09:32:00,862,NA,NA
"34",2002-09-10 09:32:30,862,NA,NA
"35",2002-09-10 09:33:00,862,NA,NA
"36",2002-09-10 09:33:30,862,NA,NA
"37",2002-09-10 09:34:00,862,NA,NA
"38",2002-09-10 09:34:30,862,NA,NA
"39",2002-09-10 09:35:00,862,NA,NA
"40",2002-09-10 09:35:30,862,NA,NA
"41",2002-09-10 09:36:00,862,NA,NA
"42",2002-09-10 09:36:30,862,NA,NA
"43",2002-09-10 09:37:00,862,NA,NA
"44",2002-09-10 09:37:30,862,NA,NA
"45",2002-09-10 09:38:00,862,NA,NA
"46",2002-09-10 09:38:30,862,NA,NA
"47",2002-09-10 09:39:00,862,NA,NA
"48",2002-09-10 09:39:30,862,NA,NA
"49",2002-09-10 09:40:00,862,NA,NA
"50",2002-09-10 09:40:30,862,NA,NA
"51",2002-09-10 09:41:00,862,NA,NA
"52",2002-09-10 09:41:30,862,NA,NA
"53",2002-09-10 09:42:00,862,NA,NA
"54",2002-09-10 09:42:30,862,NA,NA
"55",2002-09-10 09:43:00,862,NA,NA
"56",2002-09-10 09:43:30,862,NA,NA
"57",2002-09-10 09:44:00,862,NA,NA
"58",2002-09-10 09:44:30,862,NA,NA
"59",2002-09-10 09:45:00,862,NA,NA
"60",2002-09-10 09:45:30,862,NA,NA
"61",2002-09-10 09:46:00,862,NA,NA
"62",2002-09-10 09:46:30,862,NA,NA
"63",2002-09-10 09:47:00,862,NA,NA
"64",2002-09-10 09:47:30,862,NA,NA
"65",2002-09-10 09:48:00,862,NA,NA
"66",2002-09-10 09:48:30,862,NA,NA
"67",2002-09-10 09:49:00,862,NA,NA
"68",2002-09-10 09:49:30,862,NA,NA
"69",2002-09-10 09:50:00,862,NA,NA
"70",2002-09-10 09:50:30,862,NA,NA
"71",2002-09-10 09:51:00,862,NA,NA
"72",2002-09-10 09:51:30,862,NA,NA
"73",2002-09-10 09:52:00,862,NA,NA
"74",2002-09-10 09:52:30,862,NA,NA
"75",2002-09-10 09:53:00,862,NA,NA
"76",2002-09-10 09:53:30,862,NA,NA
"77",2002-09-10 09:54:00,862,NA,NA
"78",2002-09-10 09:54:30,862,NA,NA
"79",2002-09-10 09:55:00,862,NA,NA
"80",2002-09-10 09:55:30,862,NA,NA
"81",2002-09-10 09:56:00,862,NA,NA
"82",2002-09-10 09:56:30,862,NA,NA
"83",2002-09-10 09:57:00,862,NA,NA
"84",2002-09-10 09:57:30,862,NA,NA
"85",2002-09-10 09:58:00,862,NA,NA
"86",2002-09-10 09:58:30,862,NA,NA
"87",2002-09-10 09:59:00,862,NA,NA
"88",2002-09-10 09:59:30,862,NA,NA
"89",2002-09-10 10:00:00,862,NA,NA
"90",2002-09-10 10:00:30,862,NA,NA
"91",2002-09-10 10:01:00,862,NA,NA
"92",2002-09-10 10:01:30,862,NA,NA
"93",2002-09-10 10:02:00,862,NA,NA
"94",2002-09-10 10:02:30,862,NA,NA
"95",2002-09-10 10:03:00,862,NA,NA
"96",2002-09-10 10:03:30,862,NA,NA
"97",2002-09-10 10:04:00,862,NA,NA
"98",2002-09-10 10:04:30,862,NA,NA
"99",2002-09-10 10:05:00,862,NA,NA
"100",2002-09-10 10:05:30,862,NA,NA
"101",2002-09-10 10:06:00,862,NA,NA
"102",2002-09-10 10:06:30,862,NA,NA
"103",2002-09-10 10:07:00,862,NA,NA
"104",2002-09-10 10:07:30,862,NA,NA
"105",2002-09-10 10:08:00,862,NA,NA
"106",2002-09-10 10:08:30,862,NA,NA
"107",2002-09-10 10:09:00,862,NA,NA
"108",2002-09-10 10:09:30,862,NA,NA
"109",2002-09-10 10:10:00,862,NA,NA
"110",2002-09-10 10:10:30,862,NA,NA
"111",2002-09-10 10:11:00,862,NA,NA
"112",2002-09-10 10:11:30,862,NA,NA
"113",2002-09-10 10:12:00,862,NA,NA
"114",2002-09-10 10:12:30,862,NA,NA
"115",2002-09-10 10:13:00,862,NA,NA
"116",2002-09-10 10:13:30,862,NA,NA
"117",2002-09-10 10:14:00,862,NA,NA
"118",2002-09-10 10:14:30,862,NA,NA
"119",2002-09-10 10:15:00,862,NA,NA
"120",2002-09-10 10:15:30,862,NA,NA
"121",2002-09-10 10:16:00,862,NA,NA
"122",2002-09-10 10:16:30,862,NA,NA
"123",2002-09-10 10:17:00,862,NA,NA
"124",2002-09-10 10:17:30,862,NA,NA
"125",2002-09-10 10:18:00,862,NA,NA
"126",2002-09-10 10:18:30,862,NA,NA
"127",2002-09-10 10:19:00,862,NA,NA
"128",2002-09-10 10:19:30,862,NA,NA
"129",2002-09-10 10:20:00,862,NA,NA
"130",2002-09-10 10:20:30,862,NA,NA
"131",2002-09-10 10:21:00,862,NA,NA
"132",2002-09-10 10:21:30,862,NA,NA
"133",2002-09-10 10:22:00,862,NA,NA
"134",2002-09-10 10:22:30,862,NA,NA
"135",2002-09-10 10:23:00,862,NA,NA
"136",2002-09-10 10:23:30,862,NA,NA
"137",2002-09-10 10:24:00,862,NA,NA
"138",2002-09-10 10:24:30,862,NA,NA
"139",2002-09-10 10:25:00,862,NA,NA
"140",2002-09-10 10:25:30,862,NA,NA
"141",2002-09-10 10:26:00,862,NA,NA
"142",2002-09-10 10:26:30,862,NA,NA
"143",2002-09-10 10:27:00,862,NA,NA
"144",2002-09-10 10:27:30,862,NA,NA
"145",2002-09-10 10:28:00,862,NA,NA
"146",2002-09-10 10:28:30,862,NA,NA
"147",2002-09-10 10:29:00,862,NA,NA
"148",2002-09-10 10:29:30,862,NA,NA
"149",2002-09-10 10:30:00,862,NA,NA
"150",2002-09-10 10:30:30,862,NA,NA
"151",2002-09-10 10:31:00,862,NA,NA
"152",2002-09-10 10:31:30,862,NA,NA
"153",2002-09-10 10:32:00,862,NA,NA
"154",2002-09-10 10:32:30,862,NA,NA
"155",2002-09-10 10:33:00,862,NA,NA
"156",2002-09-10 10:33:30,862,NA,NA
"157",2002-09-10 10:34:00,862,NA,NA
"158",2002-09-10 10:34:30,862,NA,NA
"159",2002-09-10 10:35:00,862,NA,NA
"160",2002-09-10 10:35:30,862,NA,NA
"161",2002-09-10 10:36:00,862,NA,NA
"162",2002-09-10 10:36:30,862,NA,NA
"163",2002-09-10 10:37:00,862,NA,NA
"164",2002-09-10 10:37:30,862,NA,NA
"165",2002-09-10 10:38:00,862,NA,NA
"166",2002-09-10 10:38:30,862,NA,NA
"167",2002-09-10 10:39:00,862,NA,NA
"168",2002-09-10 10:39:30,862,NA,NA
"169",2002-09-10 10:40:00,862,NA,NA
"170",2002-09-10 10:40:30,862,NA,NA
"171",2002-09-10 10:41:00,862,NA,NA
"172",2002-09-10 10:41:30,862,NA,NA
"173",2002-09-10 10:42:00,862,NA,NA
"174",2002-09-10 10:42:30,862,NA,NA
"175",2002-09-10 10:43:00,862,NA,NA
"176",2002-09-10 10:43:30,862,NA,NA
"177",2002-09-10 10:44:00,862,NA,NA
"178",2002-09-10 10:44:30,862,NA,NA
"179",2002-09-10 10:45:00,862,NA,NA
"180",2002-09-10 10:45:30,862,NA,NA
"181",2002-09-10 10:46:00,862,NA,NA
"182",2002-09-10 10:46:30,862,NA,NA
"183",2002-09-10 10:47:00,862,NA,NA
"184",2002-09-10 10:47:30,862,NA,NA
"185",2002-09-10 10:48:00,862,NA,NA
"186",2002-09-10 10:48:30,862,NA,NA
"187",2002-09-10 10:49:00,862,NA,NA
"188",2002-09-10 10:49:30,862,NA,NA
"189",2002-09-10 10:50:00,862,NA,NA
"190",2002-09-10 10:50:30,862,NA,NA
"191",2002-09-10 10:51:00,862,NA,NA
"192",2002-09-10 10:51:30,862,NA,NA
"193",2002-09-10 10:52:00,862,NA,NA
"194",2002-09-10 10:52:30,862,NA,NA
"195",2002-09-10 10:53:00,862,NA,NA
"196",2002-09-10 10:53:30,862,NA,NA
"197",2002-09-10 10:54:00,862,NA,NA
"198",2002-09-10 10:54:30,862,NA,NA
"199",2002-09-10 10:55:00,862,NA,NA
"200",2002-09-10 10:55:30,862,NA,NA
"201",2002-09-10 10:56:00,862,NA,NA
"202",2002-09-10 10:56:30,862,NA,NA
"203",2002-09-10 10:57:00,862,NA,NA
"204",2002-09-10 10:57:30,862,NA,NA
"205",2002-09-10 10:58:00,862,NA,NA
"206",2002-09-10 10:58:30,862,NA,NA
"207",2002-09-10 10:59:00,862,NA,NA
"208",2002-09-10 10:59:30,862,NA,NA
"209",2002-09-10 11:00:00,862,NA,NA
"210",2002-09-10 11:00:30,862,NA,NA
"211",2002-09-10 11:01:00,862,NA,NA
"212",2002-09-10 11:01:30,862,NA,NA
"213",2002-09-10 11:02:00,862,NA,NA
"214",2002-09-10 11:02:30,862,NA,NA
"215",2002-09-10 11:03:00,862,NA,NA
"216",2002-09-10 11:03:30,862,NA,NA
"217",2002-09-10 11:04:00,862,NA,NA
"218",2002-09-10 11:04:30,862,NA,NA
"219",2002-09-10 11:05:00,862,NA,NA
"220",2002-09-10 11:05:30,862,NA,NA
"221",2002-09-10 11:06:00,862,NA,NA
"222",2002-09-10 11:06:30,862,NA,NA
"223",2002-09-10 11:07:00,862,NA,NA
"224",2002-09-10 11:07:30,862,NA,NA
"225",2002-09-10 11:08:00,862,NA,NA
"226",2002-09-10 11:08:30,862,NA,NA
"227",2002-09-10 11:09:00,862,NA,NA
"228",2002-09-10 11:09:30,862,NA,NA
"229",2002-09-10 11:10:00,862,NA,NA
"230",2002-09-10 11:10:30,862,NA,NA
"231",2002-09-10 11:11:00,862,NA,NA
"232",2002-09-10 11:11:30,862,NA,NA
"233",2002-09-10 11:12:00,862,NA,NA
"234",2002-09-10 11:12:30,862,NA,NA
"235",2002-09-10 11:13:00,862,NA,NA
"236",2002-09-10 11:13:30,862,NA,NA
"237",2002-09-10 11:14:00,862,NA,NA
"238",2002-09-10 11:14:30,862,NA,NA
"239",2002-09-10 11:15:00,862,NA,NA
"240",2002-09-10 11:15:30,862,NA,NA
"241",2002-09-10 11:16:00,862,NA,NA
"242",2002-09-10 11:16:30,862,NA,NA
"243",2002-09-10 11:17:00,862,NA,NA
"244",2002-09-10 11:17:30,862,NA,NA
"245",2002-09-10 11:18:00,862,NA,NA
"246",2002-09-10 11:18:30,862,NA,NA
