"","oid","x","y"
"1",862,486870.631111111,4206316.37333333
"2",862,486870.631111111,4206316.37333333
"3",862,486870.631111111,4206316.37333333
"4",862,486870.631111111,4206316.37333333
"5",862,486870.631111111,4206316.37333333
"6",862,486870.631111111,4206316.37333333
"7",862,486870.631111111,4206316.37333333
"8",862,486870.631111111,4206316.37333333
"9",862,486870.631111111,4206316.37333333
"10",862,486870.631111111,4206316.37333333
"11",862,486870.631111111,4206316.37333333
"12",862,486870.631111111,4206316.37333333
"13",862,486870.631111111,4206316.37333333
"14",862,486870.631111111,4206316.37333333
"15",862,486870.631111111,4206316.37333333
"16",862,486870.631111111,4206316.37333333
"17",862,486870.631111111,4206316.37333333
"18",862,486870.631111111,4206316.37333333
"19",862,486870.631111111,4206316.37333333
"20",862,486870.631111111,4206316.37333333
"21",862,486870.631111111,4206316.37333333
"22",862,486870.631111111,4206316.37333333
"23",862,486870.631111111,4206316.37333333
"24",862,486870.631111111,4206316.37333333
"25",862,486870.631111111,4206316.37333333
"26",862,486870.631111111,4206316.37333333
"27",862,486870.631111111,4206316.37333333
"28",862,486870.631111111,4206316.37333333
"29",862,486870.631111111,4206316.37333333
"30",862,486870.631111111,4206316.37333333
"31",862,486870.631111111,4206316.37333333
"32",862,486870.631111111,4206316.37333333
"33",862,486870.631111111,4206316.37333333
"34",862,486870.631111111,4206316.37333333
"35",862,486870.631111111,4206316.37333333
"36",862,486870.631111111,4206316.37333333
"37",862,486870.631111111,4206316.37333333
"38",862,486870.631111111,4206316.37333333
"39",862,486870.631111111,4206316.37333333
"40",862,486870.631111111,4206316.37333333
"41",862,486870.631111111,4206316.37333333
"42",862,486870.631111111,4206316.37333333
"43",862,486870.631111111,4206316.37333333
"44",862,486870.631111111,4206316.37333333
"45",862,486870.631111111,4206316.37333333
"46",862,486870.631111111,4206316.37333333
"47",862,486870.631111111,4206316.37333333
"48",862,486870.631111111,4206316.37333333
"49",862,486870.631111111,4206316.37333333
"50",862,486870.631111111,4206316.37333333
"51",862,486870.631111111,4206316.37333333
"52",862,486870.631111111,4206316.37333333
"53",862,486870.631111111,4206316.37333333
"54",862,486870.631111111,4206316.37333333
"55",862,486870.631111111,4206316.37333333
"56",862,486870.631111111,4206316.37333333
"57",862,486870.631111111,4206316.37333333
"58",862,486870.631111111,4206316.37333333
"59",862,486870.631111111,4206316.37333333
"60",862,486870.631111111,4206316.37333333
"61",862,486870.631111111,4206316.37333333
"62",862,486870.631111111,4206316.37333333
"63",862,486870.631111111,4206316.37333333
"64",862,486870.631111111,4206316.37333333
"65",862,486870.631111111,4206316.37333333
"66",862,486870.631111111,4206316.37333333
"67",862,486870.631111111,4206316.37333333
"68",862,486870.631111111,4206316.37333333
"69",862,486870.631111111,4206316.37333333
"70",862,486870.631111111,4206316.37333333
"71",862,486870.631111111,4206316.37333333
"72",862,486870.631111111,4206316.37333333
"73",862,486870.631111111,4206316.37333333
"74",862,486870.631111111,4206316.37333333
"75",862,486870.631111111,4206316.37333333
"76",862,486870.631111111,4206316.37333333
"77",862,486870.631111111,4206316.37333333
"78",862,486870.631111111,4206316.37333333
"79",862,486870.631111111,4206316.37333333
"80",862,486870.631111111,4206316.37333333
"81",862,486870.631111111,4206316.37333333
"82",862,486870.631111111,4206316.37333333
"83",862,486870.631111111,4206316.37333333
"84",862,486870.631111111,4206316.37333333
"85",862,486870.631111111,4206316.37333333
"86",862,486870.631111111,4206316.37333333
"87",862,486870.631111111,4206316.37333333
"88",862,486870.631111111,4206316.37333333
"89",862,486870.631111111,4206316.37333333
"90",862,486870.631111111,4206316.37333333
"91",862,486870.631111111,4206316.37333333
"92",862,486870.631111111,4206316.37333333
"93",862,486870.631111111,4206316.37333333
"94",862,486870.631111111,4206316.37333333
"95",862,486870.631111111,4206316.37333333
"96",862,486870.631111111,4206316.37333333
"97",862,486870.631111111,4206316.37333333
"98",862,486870.631111111,4206316.37333333
"99",862,486870.631111111,4206316.37333333
"100",862,486870.631111111,4206316.37333333
"101",862,486870.631111111,4206316.37333333
"102",862,486870.631111111,4206316.37333333
"103",862,486870.631111111,4206316.37333333
"104",862,486870.631111111,4206316.37333333
"105",862,486870.631111111,4206316.37333333
"106",862,486870.631111111,4206316.37333333
"107",862,486870.631111111,4206316.37333333
"108",862,486870.631111111,4206316.37333333
"109",862,486870.631111111,4206316.37333333
"110",862,486870.631111111,4206316.37333333
"111",862,486870.631111111,4206316.37333333
"112",862,486870.631111111,4206316.37333333
"113",862,486870.631111111,4206316.37333333
"114",862,486870.631111111,4206316.37333333
